utterance,expected
Hlw how are you,UNKNOWN
I was tryna know if you guy's have 2 bedrooms available,UNKNOWN
Hi. I inquired about a property in Brooklyn. Not sure which one,UNKNOWN
Ok great,UNKNOWN
"Hi I am interested in the shared apartment listed as $1,225 ""Bright Harlem home with exposed brick walls"" so far. Can I learn more about it?",UNKNOWN
"Thank you Kelsey
I'm looking to rent a room in the Portland Vancouver Washington area not too far from public transportation.
I'm just relocating from the East Coast and looking for a room immediately",UNKNOWN
"Hello, yes please I am looking for a room in Brooklyn. My budget is 800",UNKNOWN
"What's bungalow again, can you send a link? Sorry I've been looking at alot of places today. Also, not too picky just a studio or 1 bedroom is all I need.",UNKNOWN
I would like to schedule a tour contact me at the number 619-362-5217,UNKNOWN
Will contact you after work. Thanks,UNKNOWN
"Hello Kelsey, can you please provide me general information I tried to go back on the zumper website where I saw the listing but I can't seem to find the exact posting",UNKNOWN
My daughter goes to Georgia State University. She is in Pre Med. She needs to be close to campus due to Chemistry classes being 4 days a week due to Labs.,UNKNOWN
A room between 700-950/month.,UNKNOWN
The absolute most...$1050,UNKNOWN
I am looking to be in the Ukrainian village area,UNKNOWN
"Hello, so I'm interested in the listing at spacious Hampden apartment by greenwood
It says it's 700$ for rent",UNKNOWN
"Hi Kelsey! There were 2 places in the Bloomingdale neighborhood, by Rhode Island Ave I'm interested in.",UNKNOWN
Can I schedule a tour for both Friday or Saturday? I can do anytime before 2pm.,UNKNOWN
"Hi Kelsey, I was looking at this listing: https://bungalow.com/rooms-for-rent/boston/inviting-cambridge-home-by-inman-square?utm_source=customer.io&utm_medium=email&utm_campaign=property_listing

And wondering about the terms of the lease. The listing itself is light on details",UNKNOWN
One near the Westend area,UNKNOWN
"Hi, I'm trying to see which room is the one that's for rent",UNKNOWN
Can I send you the link?,UNKNOWN
Hello,UNKNOWN
"Hi, I was looking at a specific place in the Santa Monica sawtelle area but it appears someone is already moving in?",UNKNOWN
I'm looking for something in the Santa monica/Venice area.,UNKNOWN
Just need one bedroom but do you check credit and is their a minimum wages I need to have in order to get a room,UNKNOWN
Next to Conshohocken,UNKNOWN
"Whichever one i just submitted my information to the $700 room to rent online, not sure which one it was",UNKNOWN
Hi kelsey i'm just looking for anything that's a private bed and around 1000 a month!,UNKNOWN
"Hey Kelsey. Thanks for your message. I'm looking for a spacious room in a house (mission/alamo/lower Haight/castro)
Budget is flexible. For starting 1 or 15 Jan",UNKNOWN
Hi Kelsey! I am looking for a place in san diego or miami flordia,UNKNOWN
I am looking for accomodation till May end in somerville cambridge area. Please let me know what options you have,UNKNOWN
,UNKNOWN
Maya pointed this one out to me. She said it allowed dogs.,UNKNOWN
Thank you!,UNKNOWN
Rose city park,UNKNOWN
Ok mine are Esa!,UNKNOWN
I did make a profile!,UNKNOWN
Thanks!,UNKNOWN
"Hi Kelsey, That would be great. I might want to move in next week",UNKNOWN
where is it and how much,UNKNOWN
which inquiry are you from,UNKNOWN
the $550.00 west apartment on broad,UNKNOWN
Yes,UNKNOWN
I need a 3 month lease. Is this possible?,UNKNOWN
I am a travel nurse. I will not be in the area a year. Thanks.,UNKNOWN
I'm definitely interested in renting soon! What was the initial apartment it shows on my request with you? Bring I been browsing.,UNKNOWN
What is the total package for this apartment. I see it's excl. utilities and I am seeing 99$ per month service charge,UNKNOWN
Ok great.,UNKNOWN
Hello just searching for now thank you,UNKNOWN
