,utterance,expected,predicted,score
0,"Hi Kelsey, thank you for reaching out! Before I come in I just have a couple of questions. What amenities do you offer at the property?",amenities,unknown,0.13725725
1,Yes that does! What is the pet policy in place at your apartment?,pet,unitAssignment,0.07880357
2,Ok sounds good thanks. And is there any security deposit discount available?,deposit,unitAssignment,0.075575374
3,I understand thank you. Can I come in this Friday at 4pm?,tourBooking,unknown,0.40757465
4,Are you going to tell me who this is?,unknown,unknown,0.37017033
5,A tour of that pussy,unknown,unknown,0.5585388
6,Oh big bug,unknown,unknown,0.69792044
7,Yes I would like a tour.,tourBooking,unknown,0.48715168
8,"It would be just me and my son, he's 3. Im 26. I am just looking for a better living situation for us. And affordable because I will be paying alone.",moveInCost,unitAssignment,0.5332287
9,What's ur price on the 1 bedrooms,whatIntent_rent,unitAssignment,0.7717097
10,Can we do a tour Tuesday?,tourBooking,tourBooking,0.3153515
11,I can make that happen,unknown,unknown,0.70811343
12,I'd love to come take a look at the property today what time you'll be in till,tourBooking,tourBooking,0.30692828
13,Okay sounds good,unknown,unknown,0.73274964
14,2 bedrooms are $850,whatIntent_rent,unitAssignment,0.7796119
15,yes but i'll have time again on Friday will get you back,tourBooking,unknown,0.5149811
16,No I'm thinking of moving in may or June,unknown,unknown,0.46123543
17,Santa Clara is closer I work in Hayward at the Pepsi plant,unknown,unknown,0.3039997
18,Prices,whatIntent_rent,unitAssignment,0.4641487
19,Hello do you have a 2 bdrm and how much,whatIntent_rent,unitAssignment,0.66344726
20,Where are you located?,community_address,unknown,0.07344666
21,i think we are good,unknown,unknown,0.70292187
22,looking for where close to the city,nearbyAttractions,unknown,0.11624173
23,Yes that's fine.. February! 1 bed/ 1bath. No children nor pets.,unknown,unitAssignment,0.4514301
24,"Awesome.. See you around the 11th.
What will be the security deposit and requirements..",deposit,unknown,0.2935136
25,Yes I would like to schedule a tour,tourBooking,unknown,0.35474712
26,Hi! Yes pets are allowed,pet,unknown,0.21732146
27,"Good afternoon if I would like, tell me at what time and the address",tourBooking,unknown,0.31089583
28,I dont recall asking about an apartment,unknown,unknown,0.45975968
29,What is the pet polocy,pet,unknown,0.039774492
30,What is the pet pololicy,pet,unitAssignment,0.060576063
31,"Are pets allowed
",pet,unknown,0.045542516
32,How many,total_units,unknown,0.516193
33,How many pets are allowed,pet,unitAssignment,0.07869447
34,Where are the apartments located ?,community_address,amenities,0.038625102
35,Is scheduling a tour at 6 am moral ?,unknown,unknown,0.19908607
36,Wrong direction,unknown,unknown,0.68702877
37,What is the rent for the 1 bedroom and location?,whatIntent_rent,unitAssignment,0.7220838
38,Not just yet. What are 2bd prices and what's include?,whatIntent_rent,unitAssignment,0.580312
39,Are pets allowed- what are fees for same?,pet,unitAssignment,0.12849557
40,What are the amenities? Is there a washer dryer in unit?,amenities,amenities,0.04111531
41,No our dog is not allowed. Thank you,unknown,unknown,0.5563453
42,Sorry but I understood that the tour was canceled.,unknown,unknown,0.47514182
43,Moving out of state thank you,unknown,unknown,0.6320023
44,I'm actually getting ready for work,unknown,unknown,0.5837997
45,"Hi Kelsey, that was a while ago, I already found a place, thanks though!",unknown,unknown,0.6358304
46,Where you guys located,community_address,unknown,0.15328656
47,Could you send me information ?,unknown,unknown,0.30466017
48,I have been so busy with work and I work from 9pm to 7 am Sunday through Thursday nights. So when I get off I'm dragging myself because of the type of work I do,unknown,unknown,0.34926495
49,Si la verdad me interesa cuánto es la renta y que necesito y para cuándo está disponible,unknown,unknown,0.7490418
50,"Thanks 
We decide to stay more time in our current home ... ",unknown,unknown,0.42792675
51,I will let my friend know and see what she says. Thank you!,unknown,unknown,0.6613476
52,How much is that going for,whatIntent_rent,unitAssignment,0.46278426
53,That is pricey,incomeRequirement,unknown,0.54913247
54,I can't afford that.i barely bring home 2400 a month,whatIntent_rent,unknown,0.3929482
55,This place must be very nice,amenities,unknown,0.22342913
56,But that's still pricey,whatIntent_rent,unknown,0.49775603
57,"Okay, let me get back to you in the morning when I get off. I'll be sure to stay up until I talk to you",unknown,unknown,0.6323755
58,Do you allow a dog over 65 lbs and pit bull?,pet,unitAssignment,0.08884679
59,"No, I found a place. Thank you. ",unknown,unknown,0.64628255
60,Thank you ! Do you know when they will be getting I. Touch with me ?,tourBooking,unknown,0.3036301
61,Ok no problem I left a voicemail   So hopefully they get back to me this week,tourBooking,unknown,0.5960762
62,We have selected another property thank you for your time,unknown,unknown,0.6361403
63,Hello 2300 is to much for me thank you though I am willing to go 2000 if you find anything,whatIntent_rent,unknown,0.40013063
64,Ok I will be willing to take a tour on Monday morning I will message tomorrow,tourBooking,unknown,0.45685002
65,What is the deposit?,deposit,unitAssignment,0.06713894
66,Do you allow fogs?,pet,unknown,0.057801165
67,No not moving now. Lost job. But thank you for checking.,unknown,unknown,0.6035326
68,I work in South Bay,unknown,unknown,0.5601065
69,I have a car hard to park,parking,unknown,0.107834004
70,Parking,parking,unknown,0.14470467
71,It's going to cost me a lot to get out of my apt in south baby,moveInCost,unknown,0.37376562
72,"IN / FURNITURE COST AND NO APPLICATION FEE
Exclusions may apply.”",unknown,unitAssignment,0.18868111
73,Ok can I park at your office,parking,unknown,0.32894823
74,Okay I'll go ahead and call him thank you!,unknown,unknown,0.6862377
75,"We can do tomorrow 5:30-6:30. Sorry I keep missing your calls. I'm at work. Should I text, call or just show up at that time?",tourBooking,unknown,0.3698034
76,Thursday the 11th would be perfect!,tourBooking,unknown,0.5895279
77,GOODAY do pictures of the place my bed is a cal.king,unknown,unknown,0.5266667
78,Are pit bulls allowed here?,pet,unknown,0.041583583
79,Do you have any virtual tours available?,virtualTour,tourBooking,0.19507457
