,Unnamed: 0,utterance,expected
0,1231,Location??,community_address
1,1227,How much do I need to pay before moving in?,moveInCost
2,120,I'm viewing property this Saturday,unknown
3,505,Do you have rentals other than San Francisco,unitAssignment
4,1413,It is out of my budget,wantsLessExpensiveUnit
5,1416,Can you please show few more options,wantsLessExpensiveUnit
6,760,The application and guarantor application,leaseGaurantor
7,1417,Looking for some cheaper unit,wantsLessExpensiveUnit
8,923,"Hi Kelsey, yes I would like to schedule a virtual tour for a 1bed 1 bath",virtualTour
9,1422,I need to reschedule,tourReschedule
10,1351,What's the price difference for 1 bedroom for all three leases?,unitAssignment
11,149,I was looking for at a 1 1/2 bathrooms,unitAssignment
12,1030,So me dijeron q esta listo y me lo enseñaron,unknown
13,1356,Good morning I am just looking for information on what the total move-in cost would be if I was to move in by May 20,moveInCost
14,1370,Okay and the deposit?,deposit
15,1182,would -PRON- be able to use the pool,pool
16,1306,What does your credit score have to be?,creditScore
17,628,Hi Mrs. Kelsey I would love that but I do have some questions.,unknown
18,763,How much do I have to put down to move in ?,deposit
19,990,"Hi Ryan! Thanks for your email. 

I just wanted to confirm the cost of rent for the places you sent over. I noticed the move-in costs but wanted to clarify everything before moving forward. ",moveInCost
20,631,I am canceling the 500pm tour of 555 O’farrell on the 25 of February.,unknown
21,394,Dirección por favor,unknown
22,663,I'm looking for a 1 bedroom preferably on the b side,unitAssignment
23,460,"Are you friendly pets, have a dryer and washers  in the apartment? ",utility
24,885,Ok so I pay utilities+ rent?,unknown
25,378,"Yes , I am still interested ",unitAssignment
26,519,Yeah I like that one. Are you guys primarily located in downtown sf?,community_address
27,985,do -PRON- have a pool onsite,pool
28,410,Just leave me alone,unknown
29,1395,Yes please what are all your qualifications to move in how much is your deposit admin fee and application,applicationFee
30,1218,So can you send me the application,applicationProcess
31,424,Hi so I scheduled a tour and it's supposedly at this time. What number would I reach them at?,tourBooking
32,21,Thank you so much for your time,unknown
33,1262,also do y'all have in unit washer & dryer?,laundry
34,1268,Yes and I haven't received the application link yet,applicationProcess
35,436,"Hi Kelsey, I reached out to the leasing office and got to know that prices are upgrading. So I was wondering if I book earlier, would I get the prices mentioned in the website? 
Thanks a lot",unknown
36,209,be there any application fee for -PRON- property,applicationFee
37,991,Yes I would love to schedule a tour and I do have a few questions,tourBooking
38,780,"also what are the details of the move-in/furniture promotion?
",leasingOfficePromotion
39,1018,Yes was looking for a med/large 1bdrm or small 2bdrm need prices and availability,unitAssignment
40,776,It's okay thank you ,unknown
41,1179,Hi Ryan.. thank you for your email.Is this palace court apartments? Can you confirm the price range for studio?,moveInCost
42,1014,How much is the apartment? Does the property pay for utilities?,moveInCost
43,257,can i see the property from my phone/laptop,virtualTour
44,153,Does this community feature a spa,hotTub
45,852,"Hi, I would like to know if a Guarantor is required and if there is a security deposit?",leaseGaurantor
46,1294,"Hello! Thank you for your message, I'm at work so texting helps. But I wanted to know if you work with broken leases? I have one from 2 yrs ago. I live with a family member but me and my partner are looking for a 1 bedroom",evictionPolicy
47,87,would i be able to park,parking
48,1272,What are the differences between the units? And is there a washer and drier available,laundry
49,1190,Can you please text me which apartment ?,community_address
50,186,Saturday Mar 06 3:00 PM works,tourBooking
51,187,"Goodmorning, Yes I would love a tour but I'm moving from Norfolk va to Houston is their any way possible that I could do a virtual tour?",virtualTour
52,1078,Do you have electric car charging?,electricVehicleCharging
53,928,Yes,unknown
54,1112,"Yes, I am looking for a rental in the right location.",unitAssignment
55,891,Please describe the amenities the community offers.,amenities
56,1188,When are you closed?,leasingOfficeHolidays
57,34,cancel the tour,tourCancellation
58,694,Thursday the 11th would be perfect!,tourBooking
59,832,Do you have a one bedroom available,unitAssignment
60,1121,Hii,unknown
61,1066,Does the apartment include furniture,furnishedUnit
62,17,Ok but yesterday I was told 30th of May is available and was told if an earlier date in May comes up I will be contacted.  I understand the 1st come 1st serve basis. I just need to know a date so I can come in. Thanks,unknown
63,755,I work Tues thru Sat,unknown
64,999,"Thank you so much for reaching out to me! I am very much interested in the studio apartment for $1395. I would love to see the place if it is still available. I can be available tomorrow at 11:45am. However, I am in Southern California so if a virtual toor is possible that would be great!",virtualTour
65,229,Do you accept section 8 voucher,section8
66,1443,"Hiii! I'm still interested, can we reschedule for today or tomorrow?",tourReschedule
67,435,Perfect. Could you please share pictures of the interior of the units that are up for rent,amenities
68,216,I want to reschedule my tour,rescheduleTour
69,636,what kind of amenity do this place have,amenities
70,1277,Yes ma'am and I'd love to fill out an application,applicationProcess
71,715,Hi Ryan. Thanks for reaching out! I am in LA and won't be able to come up to the Bay. I won't be moving until June and wanted to get a head start looking at buildings. I'd love to keep your contact and reach out in May if that's okay with you!,tourBooking
72,946,I'm Googling it now ,unknown
73,958,1 bedroom 1 bathroom,unitAssignment
74,1178,Is this a good call back number,unknown
75,1402,"Great, when can we set one up? And can you tell me a little more about the units you have available please and the application process?",applicationProcess
76,182,2 bedrooms town home,unitAssignment
77,627,New tenant application process?,applicationProcess
78,1122,Thanks so much! How long is the lease may I ask?,leasePeriod
79,827,hey kelsey,unknown
80,114,be laundry extra,laundry
81,1295,Address,community_address
82,181,Yes I would like to schedule a tour,tourBooking
83,158,be there a car parking,parking
84,246,How often will rent be increased and by how much? (Please include a dollar or percentage amount),rentIncrementPolicy
85,28,I would like to schedule a tour for next Friday April 1st,tourBooking
86,1338,Pets,pet
87,191,3bedroom 2 bath,unitAssignment
88,302,"Sorry about this but I have to cancel this appointment, I used Zillow to contact you but I was on 1490 pine not 1739, not sure why zilliow sent me to this address and not
The unit I was viewing",unknown
89,1127,do -PRON- have income requirement,incomeRequirement
90,918,Can we do tomorrow at 3:30pm,tourBooking
91,243,Where you send for me?,unknown
92,839,Prefer to move in next month like 3rd week of April,unitAssignment
93,416,I just left downtown can send a virtual video or pics again ?,propertyWebsiteLink
94,304,Ya I was wondering is the place fully furnished,furnishedUnit
95,927,I would like to schedule a tour,tourBooking
96,173,Can you cancel I apologize for the inconvenience. I'll reschedule on my own.,tourCancellation
97,1005,What will be included in that again ?,amenities
98,50,Yeah if that's the earliest you got then that works,unknown
99,1070,Si la verdad me interesa cuánto es la renta y que necesito y para cuándo está disponible,unknown
100,1239,Yes I would like to do a virtual tour if at all possible,virtualTour
101,775,How much is that going for,unitAssignment
102,600,pricing for the apartments,unitAssignment
103,1300,"Hi Kelsey, sorry for the late reply. Just wonder do you provide 3 month lease for studio?",leasePeriod
104,877,"I wanted to ask more about the rent and the special y'all have going on , I'm trying to move from Shreveport ",unitAssignment
105,501,"Can I see it tomorrow after work, 5:45pm?",tourBooking
106,790,Oh ok thanks!,unknown
107,1117,Okay thank you,unknown
108,412,Laundry Facilities,laundry
109,1350,Hello! I was interested To know what the short term lease they have and how much a 1 bedroom would be a month,unitAssignment
110,674,Na we good,unknown
111,1385,"Goodmorning, Yes I would love a tour but I'm moving from Norfolk va to Houston is their any way possible that I could do a virtual tour?",virtualTour
112,1386,"Goodmorning, Yes I would love a tour but I'm moving from Norfolk va to Houston is their any way possible that I could do a virtual tour?",virtualTour
113,1328,I would like to know the fee's I have to pay up front including down payment as well as application fee's. I'm a first time renter,applicationFee
114,686,Also I went to see the 2210 107 place yesterday and the property manager said they allow pets,pet
115,88,Is scheduling a tour at 6 am moral ?,unknown
116,1028,2 bedrooms and I'm looking to move April 9,unitAssignment
117,232,"Yes, I'll do Friday at 9 AM.",tourBooking
118,1446,can i reschedule please for tomorrow ,tourReschedule
119,965,Do you have a move in special ?,leasingOfficePromotion
120,24,Okay,unknown
121,729,Sure that would be great,unknown
122,829,10am is cool?,unknown
123,670,Yes,unknown
124,1016,Oh okay thank you,unknown
125,961,Can you give me a call?,unknown
126,733,"What is the total amount a new resident should expect to pay upon moving in? (Please provide a total number and breakdown by deposit, application fees, move in fees, etc)",moveInCost
127,94,Sorry tomorrow i need to cancel,tourBooking
128,938,Ok thank you,unknown
129,672,Y'all don't have anything available for may,unitAssignment
130,468,"Hi Kelsey, I will be in area April 20,-22",unknown
131,823,I definitely would,unknown
132,227,"1 bedrooms , and 04/02/2022",unitAssignment
133,996,Por el 313,unknown
134,766,400 less than what I'm paying now,moveInCost
135,132,Let me know I'll send app,unknown
136,1175,For a 1-2 bedroom,unitAssignment
137,462,"hi ryan, i was looking to learn more about the apartment and the requirements for applicant consideration.",applicationProcess
138,1032,"What is the application fee, and the requirements for renting? Thank you!",applicationFee
139,1261,"Hello . Yes , but can you possibly do it virtually?",virtualTour
140,926,So will he approve if we tried to get that apartment?,unknown
141,1299,"Additional information, where are you located?",community_address
142,368,I will let you know later today what day is best for me thanks,unitAssignment
143,723,"I am a felon, will be eligible",feloniesPolicy
144,905,yes. I would like a virtual tour,virtualTour
145,1183,I would like to apply for a studio that was advertised for $1395 if it is still available.,applicationProcess
146,488,"Total move in $$,also if it is all bills paid",unknown
147,847,What are all your requirements,unknown
148,1400,Is all bills paid,applicationFee
149,792,It's would have to be on the 4th of April,unknown
150,31,Spanish please,unknown
151,708,Does this community feature outdoor spaces?,outerSpace
152,320,i think we are good,unknown
153,1138,Is there any heater system?,heatingSystem
154,269,We can schedule a tour .,tourBooking
155,167,hello,unknown
156,585,Hey I put in an application I wanted to check the status,unknown
157,168,Can i see the property online or in person?,tourOptions
158,711,schedule a tour,tourBooking
159,170,Okay! I can take a look at them.,unknown
160,570,Yes I will.,unknown
161,426,Oh no worries,unknown
162,277,Thank you ! Do you know when they will be getting I. Touch with me ?,unknown
163,20,Let me know your rates for the 2 bedroom. And does it include  any bills ?,unitAssignment
164,1059,Are pit bulls allowed here?,pet
165,1062,Can you accommodate handicap?,handicapPolicy
166,685,Is there any central cooling system,airConditioner
167,1276,Where is this property located,community_address
168,371,Santa Clara is closer I work in Hayward at the Pepsi plant,unknown
169,894,Ok thanks Kelsey appreciate it!,unknown
170,497,Hello do you have a 2 bdrm and how much,unitAssignment
171,1434,Good Morning I am so sorry I have to cancel I was supposed to tell on Thursday I was so busy I would love to next Saturday I will be on that side of town Noon the same time 6/11 I am so sorry about the inconvenience,tourCancelled
172,909,Can i charge my Tesla,electricVehicleCharging
173,559,What is the name of the community?,community_name
174,1457, I could come by tomorrow,tourBooking
175,1298,Yes for both of the price is same or different,unitAssignment
176,338,Many thanks,unknown
177,1461,Tour,tourBooking
178,1228,"Hi. No, I just want two pieces of information. How much is the monthly rent for an apartment for a single person? Do you need credit to be able to rent?",unitAssignment
179,933,"Hi Ryan!
Thank you
This studio is actually for my son.
My son and I would like to see it 
",tourBooking
180,1081,2badrom,unknown
181,876,what are your move in fees,moveInCost
182,1132,"yeah, tomorrow 3 pm works for me",unknown
183,1322,"Good morning, before doing so can I confirm if there are in unit washer and dryers?",laundry
184,1337,Inwould like to know pricing for 2 bedroom floor plans,unitAssignment
185,610,Ok ya voy para allá,unknown
186,1448,Sorry I am not interested anymore,notInterested
187,1198,Ok thanks,unknown
188,1444,Hey I'm sorry I will have to reschedule ,tourReschedule
189,1449,"Hello, I'm not interested any longer. Thank you for reaching out",notInterested
190,1160,"designated parking space for your car. It's located in #10 Studio
1739",parking
191,1031,what is the rent?,unitAssignment
192,1172,"Hi Kelsey, I can take a look at the apartment in a couple weeks. ",tourBooking
193,1303,What are the requirements to get an apartment there ?,incomeRequirement
194,363,Yes I just called they have nothing until maybe May .,unknown
195,379,Hola me interesa información adicional,unknown
196,633,Yes was looking for a 3 bedroom but it seems you are fresh out when i search on the website,unitAssignment
197,1215,Good morning I would like info about this apt fees deposit and a application please. Thank you,applicationFee
198,1017,"Okay, let me get back to you in the morning when I get off. I'll be sure to stay up until I talk to you",unknown
199,738,I work all day Saturday so sadly that doesn't work for me.,tourBooking
200,250,"3 beds, 2 baths, and move in date april 21st",unitAssignment
201,110,how much do -PRON- cost do -PRON- have -PRON- available on december,unitAssignment
202,643,April 6th I'll be free,unknown
203,634,"Thanks 
We decide to stay more time in our current home ... ",unknown
204,2,what be the location,community_address
205,577,Okay mañana puedo de 10am a 1pm,unknown
206,328,That would be great. When would be a good time for you?,tourBooking
207,1378,i was also seeing if water/ electricity are included,utility
208,992,Or a 2x1 what ever is cheaper,unitAssignment
209,718,Where can i wash my clothes,laundry
210,1366,yes do this unit have any garage,amenities
211,668,How much is it,unitAssignment
212,563,What's the location,community_address
213,752,If you can email some information I'm in El Paso Tx I need to relocate to Houston ,unknown
214,613,Moving out of state thank you,unknown
215,586,what lease option do -PRON- have,leasePeriod
216,171,Great thank you so much!!,unknown
217,650,Oky thankes good,unknown
218,23,Is it virtual? I am currently located in SoCal,virtualTour
219,339,"My budget is $1200, move-in date is July 1st, and it will be 4 occupants",unitAssignment
220,1069,Can i charge my Prius,electricVehicleCharging
221,621,1 adult 4 kids,unknown
222,983,Yes please.  I need a downstairs apartment also,unitAssignment
223,789,"i want to schedule a tour
VK",tourBooking
224,953,Sometime this week and can you send me the address please,community_address
225,1213,"Hello, I am interested in what your pet policy is. I have a dog that is 77 lbs. Shepard mix.",pet
226,979,May I have virtual tour. Disabled,virtualTour
227,677,Hey Ryan! I scheduled an appointment for 2pm tomorrow to see the place,tourBooking
228,864,I can't afford that.i barely bring home 2400 a month,unknown
229,1204,Can you send me the application,applicationProcess
230,1060,Came Saturday be back on Monday,unknown
231,1321,In unit W/D,laundry
232,456,saturday works,tourBooking
233,906,"Disculpe el precio que me enviaron que incluye, o hay que pagar el agua y otras cosas aparte",unknown
234,352,"Hi, I'm looking for a 1 bedroom apartment on a 2 floor, I'll like to know the prices and availability.",unitAssignment
235,762,What time?,unknown
236,1401,"Hi Kelsey, yes I would like to schedule a virtual tour for a 1bed 1 bath",virtualTour
237,1313,Can I have your address,community_address
238,599,I won't be able to reach for tour,tourCancellation
239,1048,what be the address,community_address
240,518,Yes one for tomorrow at 2 o'clock,tourBooking
241,25,Beautiful architecture inside,amenities
242,1237,"Hi, are virtual tours available",virtualTour
243,861,do -PRON- guy do in person tour,tourBooking
244,560,where be the property locate again,community_address
245,140,3-2 and April 24,unknown
246,48,Liked “Yes the promotion is still on going.”,unknown
247,1243,The deposit and the application fee,applicationFee
248,65,1br for now an would upgrade to a two later,unitAssignment
249,1216,OK can you please email me a application?,applicationProcess
250,739,So I have a lease rn that ends in may,unknown
251,842,"Does the community have air conditioning? If yes, what is the type of air conditioning?",airConditioner
252,300,Sorry but I understood that the tour was canceled.,unknown
253,1241,Do you have a move in special?,leasingOfficePromotion
254,1086,Is there any rent for pets?,petRent
255,1051,What is included with the rent ?,amenities
256,81,Yes but not until late August. What was the price?,unitAssignment
257,573,"Kelsey, thank you for reaching out. I am looking for properties that are accepting 3rd party assistance payments.",unitAssignment
258,1307,How much are your 2/2 & 3/2,unitAssignment
259,509,2bed 1 bath,unitAssignment
260,448,monthly charges,unitAssignment
261,537,Are you going to tell me who this is?,unknown
262,1110,"Hello, I  stuck at a meeting. Do you have any availability over the weekend ?",tourBooking
263,807,I'm looking to see if you have any 3 bedroom 2 bath or 2 bedroom 2 bath with a washer and dryer connection available for immediate move in. and how much would the total move in be if so.,unitAssignment
264,532,Where you guys located,community_address
265,154,do you have workout area,gym
266,692,"I can come now, if you guys are ok",tourBooking
267,680,pet?,pet
268,920,"Yes I do like to have a tour
But I am in Houstan only for today and Saturday, please let me know if you can show me the property. Thanks Raza",tourBooking
269,388,do we have access to a gym,gym
270,845,what kind of utility be include in -PRON- rent,utility
271,233,Can I make an appointment,tourBooking
272,196,Wrong direction,unknown
273,1114,price per month,unitAssignment
274,882,What sort of common areas does this community feature?,commonAreas
275,1264,Yes! Do y'all have a website?,propertyWebsiteLink
276,467,Yes if you have a 3/2 available downstairs now for rent.,unitAssignment
277,722,"Sat Feb 27, 2-2:30 is good!",tourBooking
278,653,"I'm in Florida , can We do a virtual tour? ",virtualTour
279,261,A tour please,tourBooking
280,404,I cannot..I work during those hrs..im off work at 830pm,tourBooking
281,1404,Yes what time you close today,leasingOfficeHoursFriday
282,152,Thanks. Sounds great,unknown
283,561,"Yes please , I'm Interested  to  lease a apartment by April 1 , looking for a 2B apt",unitAssignment
284,148,"Hi Kelsey, I submitted a request for a virtual tour of A2 floor plan on this weekend. Could you please help me confirm the request? Thank you so much",virtualTour
285,249,No I'm thinking of moving in may or June,unknown
286,779,I have a car hard to park,parking
287,1399,Where are you located at,community_address
288,899,No I get off at 5pm and I am 10min away.,unknown
289,312,La ubicación,unknown
290,975,Can you cancel my visit?,tourCancellation
291,1259,Oh hello! I was wondering if you had in unit laundry or W/D hookup?,laundry
292,1318,cancel the tour,tourCancellation
293,134,are there workout facilities,gym
294,395,Yes! Parking is free?,parking
295,1007,unit 1 is good for me,unitAssignment
296,13,is smoking allowed,smoking
297,1271,Ok. And How much is pet rent,pet
298,1189,how do i reach there,community_address
299,260,1,unknown
300,175,Can you send me virtual tour ?,virtualTour
301,27,What is the income requirement?,incomeRequirement
302,290,"Sorry, last question. What is the parking like for this building?",parking
303,118,"Moving June 2022
Budget $800-$1200 
One occupant
2 bedroom 1 or 2 bathrooms",unitAssignment
304,15,I would like to schedule a tour,tourBooking
305,1270,Are pets allowed? I have a cat.,pet
306,280,Do you allow fogs?,pet
307,37,"Hello Kelsey, I currently reside in NY. Do you do virtual tours?",virtualTour
308,503,I am trying to come out to look at apartments in may. Definitely!,tourBooking
309,162,3:00 PM,unknown
310,78,Haven't had the tour yet,unknown
311,156,What was the price again ?,unitAssignment
312,682,How late are you open?,unknown
313,56,What's included in rent?,utility
314,220,How many charging ports are available,electricVehicleCharging
