,utterance,expected
0,5/14/2022 . & 2 beds,unitAssignment
1,Yes I would like to schedule a tour,tourBooking
2,what be the location,community_address
3,can you help with specially abled people,handicapPolicy
4,I will get in touch with you next week.,unknown
5,I would!,unknown
6,I did a tour yesterday already.  I will reach out to the leasing office then for further info. thanks,unknown
7,"Good morning sorry for the delayed response but yes would like to schedule a tour, preferably tomorrow",tourBooking
8,how long of lease do -PRON- offer,leasePeriod
9,Says street parking only,parking
10,Can i throw dinners or parties,guestPolicy
11,To send a rental verification,applicationProcess
12,I think you have the wrong number,unknown
13,is smoking allowed,smoking
14,346 299 8324,unknown
15,I would like to schedule a tour,tourBooking
16,Yes that's fine.. February! 1 bed/ 1bath. No children nor pets.,unitAssignment
17,Ok but yesterday I was told 30th of May is available and was told if an earlier date in May comes up I will be contacted.  I understand the 1st come 1st serve basis. I just need to know a date so I can come in. Thanks,unknown
18,One more question is there any utilities included in the rent?,utilityBilling
19,"Hello, thank you. What is the location of the 1 bedroom apartment?",community_address
20,Let me know your rates for the 2 bedroom. And does it include  any bills ?,unitAssignment
21,Thank you so much for your time,unknown
22,Yes i would love to schedule a tour,tourBooking
23,Is it virtual? I am currently located in SoCal,virtualTour
24,Okay,unknown
25,Beautiful architecture inside,amenities
26,Someone already reached out to me about that place from sf rent,unknown
27,What is the income requirement?,incomeRequirement
28,I would like to schedule a tour for next Friday April 1st,tourBooking
29,Ok thank you,unknown
30,do you allow cats,pet
31,Spanish please,unknown
32,How far are u guys from Rosharon tx or pearland,unknown
33,What utilities are included in the rent?,utility
34,cancel the tour,tourCancellation
35,What are your leasing office hours on Wednesday?,leasingOfficeHoursWednesday
36,What holidays does your leasing office observe and how does that affect their hours?,leasingOfficeHolidays
37,"Hello Kelsey, I currently reside in NY. Do you do virtual tours?",virtualTour
38,Hey! Thanks for reaching out. I won't be able to until next week,unknown
39,May1,unknown
40,I appreciate you responding,unknown
41,I can't,unknown
42,Hey does Saturday still work?,tourBooking
43,Can I go head do app,unknown
44,What is the phone number for the leasing office?,leaseOfficeContact
45,Get you some sleep god,unknown
46,common area,commonAreas
47,How much do call the 2 bed 1bath,unitAssignment
48,Liked “Yes the promotion is still on going.”,unknown
49,I can make that happen,unknown
50,Yeah if that's the earliest you got then that works,unknown
51,Okay thank.  I apologize for not getting back to you quickly.  Moving is not fun when it's just you.,unknown
52,I just started new job and in Sunnyvale I am there Saturday and Monday 11-3,unknown
53,I will have to check my work schedule and let you know.,unknown
54,What property,unknown
55,i was also seeing if water/ electricity are included,utility
56,What's included in rent?,utility
57,"Yes, I'd like to schedule a tour.",tourBooking
58,Do i need a guarantor?,leaseGaurantor
59,Are there 1 bedrooms,unitAssignment
60,I'm sorry. I was working. ,unknown
61,What places are accessible around the property,nearbyAttractions
62,Okay thanks! Do you have availability next Thursday afternoon?,tourBooking
63,What furniture is included,furnishedUnit
64,can you prvide tomorrow's slot for visit?,tourBooking
65,1br for now an would upgrade to a two later,unitAssignment
66,what be the rent,unitAssignment
67,What is the frequency of rent increases?,rentIncrementPolicy
68,"Yes,A 1BdrmOr Studio, However, Do You Accept Section 8?&Is It Possible To Prorate The Security Deposit In Addition To Rent Payment Until The Security Deposit Amount Is Paid In Full? Also How Is Rent For Apts There,& Security Deposit?",section8
69,"Yes 
Looking for a 1 or 2 bedroom was w/d connection. Price range $800-$1000",unitAssignment
70,The 23rd is Wednesday,unknown
71,Yes I am,unknown
72,Where are you located?,community_address
73,"i can't call right now, but the best day for me to schedule a tour would be monday march 1st. or a virtual tour",virtualTour
74,Hello do you have a 2 bdrm and how much,unitAssignment
75,Around 12:15pm,tourBooking
76,"I am still looking, what are the prices for 2 and 3 bedrooms?",unitAssignment
77,I need to speak to someone at your convenience.,leasingAgentContact
78,Haven't had the tour yet,unknown
79,This the address?,community_address
80,"Hi yes I was wanting to more information about the unit. How much does a 2 bed cost, and what is the deposit and application fee ?",applicationFee
81,Yes but not until late August. What was the price?,unitAssignment
82,Is the rent going to be the same over ...,rentIncrementPolicy
83,April 29th is my move in date. And two bedrooms one bath,unitAssignment
84,And I would need a 1 bedroom,unitAssignment
85,"Hello, I have the tour schedule it for 2/9 at 6 pm",tourBooking
86,Just want to follow up if he is waiitng for me,unknown
87,would i be able to park,parking
88,Is scheduling a tour at 6 am moral ?,unknown
89,Do you allow domestic animals,pet
90,I want to but I have an eviction and I was told I can't apply or I will be denied,evictionPolicy
91,Thank you,unknown
92,Im looking for 1 bed and 1 bath,unitAssignment
93,Where are you located at,community_address
94,Sorry tomorrow i need to cancel,tourBooking
95,2nd option is good for me,unitAssignment
96,how much be the laundry per load,laundry
97,do the landlord pay for water,utility
98,what be the total move in cost,moveInCost
99,Will do!,unknown
100,Do y'all do virtual tours? ,virtualTour
101,Saturday 10:00am,unknown
102,I am looking for 3 bedroom,unitAssignment
103,Where are the apartments located ?,community_address
104,"Yes Kelsey, its there any 2 bedrooms available",unitAssignment
105,Hello yes I found a place,unknown
106,Leasing Office Address,leaseOfficeDirection
107,I prefer a place with a stove. I also am not bringing my car with me so Oakland will be a little far given my job in dogpatch,amenities
108,"Hi Kelsey, that was a while ago, I already found a place, thanks though!",unknown
109,"Yes I will possibly interested in a virtual tour eventually, but just looking for more info for now. I viewed your photos and love the atmosphere. My family and I will be moving to Houston from NY in May and are looking to secure housing before we arrive. I would like to know if we can apply from here using our current paystubs or is it required that we are Houston residents with Houston paystubs first?",unknown
110,how much do -PRON- cost do -PRON- have -PRON- available on december,unitAssignment
111,be renter insurance require,renterInsurance
112,"Le gustó “Hola Kelvyn. Fue genial hablar contigo por teléfono antes. He confirmado tu visita para el 2022-03-26 a las 2:30 PM. Para su demostración por favor nos encontramos en la oficina de El Sol Del Río en 14405 Río Bonito, Houston, TX, 77083. También enviaré una confirmación con direcciones en la mañana de su tour. Si tiene alguna pregunta, no dude en ponerse en contacto conmigo a través de un mensaje de texto aquí. Gracias y que tenga un buen día!”",unknown
113,There's was no price on these two what are the prices,unitAssignment
114,be laundry extra,laundry
115,I'd love to come take a look at the property today what time you'll be in till,tourBooking
116,what be -PRON- pet policy,pet
117,Hi Kelsey I'm Angela it's my information that should be attached to everything. My wife Brenda sent everything in for me. I live in Missouri and she's already moved to Texas so yes I am trying to get Situated so I can move,unknown
118,"Moving June 2022
Budget $800-$1200 
One occupant
2 bedroom 1 or 2 bathrooms",unitAssignment
119,Thanks! Are there any units available with balcony?,amenities
120,I'm viewing property this Saturday,unknown
121,looking for 1 bed and 1 bath,unitAssignment
122,Are all bills paid,unknown
123,pets ?,pet
124,Hi! Yes pets are allowed,pet
125,One bed for now. Move in date may or June,unitAssignment
126,What utilities are included in the rent?,utility
127,I need to reschedule OR I need to change my time,rescheduleTour
128,1 bedroom is fine however if two bedrooms 2 bath are available I want to look at those as well and by april8th if that's too soon then by the end of April no later than,unitAssignment
129,Yes I've scheduled a tour for tomorrow,tourBooking
130,Yes. I am available. I ma looking for something between 550 to 620. Are there any other units available?,unitAssignment
131,Wrong number,unknown
132,Let me know I'll send app,unknown
133,"Really wish y'all did , but that's okay . You have a good day as well ",unknown
134,are there workout facilities,gym
135,"I'm sorry, I take that back, we were just alerted that we're reopening, darn.",unknown
136,"I work for Ambit Energy and wanted to let you know about our customer referral program. Each resident you send to me that signs up for electricity service, our team can pay you $50 for each one!",unknown
137,hello Ryan thank you for your attention ok I am free that Saturday or Sunday if possible I would like to visit thank you.,tourBooking
138,Under what circumstances will a tenant's deposit be held at termination of tenancy?,withholdDeposit
139,how do i get there,community_address
140,3-2 and April 24,unknown
141,can i lease on a month to month basis,leasePeriod
142,I need this studio🥺,unitAssignment
143,(To apply as a tenant),applicationProcess
144,Thank you so much and you have a great day as well,unknown
145,"Obviously you didn't list any for Monday, but in case anything opens up please feel free to notify me",unitAssignment
146,2 beds on or before 03/31,unknown
147,No washer and dryer connection.,laundry
148,"Hi Kelsey, I submitted a request for a virtual tour of A2 floor plan on this weekend. Could you please help me confirm the request? Thank you so much",virtualTour
149,I was looking for at a 1 1/2 bathrooms,unitAssignment
150,I can't tomorrow I was wondering if you have any available for next Friday,tourBooking
151,"Hi Kelsey, thanks for reaching out to me. I will be in Houston on Friday and was wondering if there where any available tour's and at what time.",tourBooking
152,Thanks. Sounds great,unknown
153,Does this community feature a spa,hotTub
154,do you have workout area,gym
155,Yes maam,unknown
156,What was the price again ?,unitAssignment
157,when can i come to see the place,tourBooking
158,be there a car parking,parking
159,Me pueden llamar necesito hacerles una pregunta?,unknown
160,Is the 2/13 in person or can I do it via a video call with an agent?,tourOptions
161,Do i have to have a job,incomeRequirement
162,3:00 PM,unknown
163,Is utility more expensive during the winter,utilityBilling
164,"Thank you, you too! ",unknown
165,I am looking for 2 bedrooms  and 2 bathrooms,unitAssignment
166,How to locate the property,community_address
167,hello,unknown
168,Can i see the property online or in person?,tourOptions
169,do -PRON- come with onsite laundry,laundry
170,Okay! I can take a look at them.,unknown
171,Great thank you so much!!,unknown
172,I'm not looking for a rental anymore. Please close this out. Thanks!,unknown
173,Can you cancel I apologize for the inconvenience. I'll reschedule on my own.,tourCancellation
174,"Are lease guarantors allowed? If yes, what are your policies/requirements for lease guarantors?",leaseGaurantor
175,Can you send me virtual tour ?,virtualTour
176,jdfbdkjdk,unknown
177,I'm heading there now to look at a one bedroom.,unknown
178,Townhome ?,unknown
179,What is the address of the leasing office?,leaseOfficeDirection
180,yes but i'll have time again on Friday will get you back,tourBooking
181,Yes I would like to schedule a tour,tourBooking
182,2 bedrooms town home,unitAssignment
183,No,unknown
184,Do i have to opt in for insurance,renterInsurance
185,Thanks,unknown
186,Saturday Mar 06 3:00 PM works,tourBooking
187,"Goodmorning, Yes I would love a tour but I'm moving from Norfolk va to Houston is their any way possible that I could do a virtual tour?",virtualTour
188,It's going to cost me a lot to get out of my apt in south baby,moveInCost
189,what be -PRON- condition to withhold the deposit,withholdDeposit
