utterance,expected
"Finally home, filled up profile for Antonio melara, looking more for room to rent with one or two guys preferable, or a studio",MadeProfile
I created the profile :),MadeProfile
"Yes, I just created a profile and yes I'm interested in the home near fulton park",MadeProfile
I have not created a profile,NeedsHelp
"Yes, I need to complete my profile. Working on it now.",MakingProfileRightNow
Hello I created my profile,MadeProfile
No I haven't created a profile but I would like to speak with them to get more information is there a link you could send me to create a profile?,NeedsHelp
Yeah I created my profile already,MadeProfile
It says my profile preferences don't match,UNKNOWN
"Hello, I just made the profile and I am typing out my message right now. Thanks!",MadeProfile
Okay I completed the profile but I put a different version of her name on it instead of my name and her face is also there.,UNKNOWN
How do I create profile?,NeedsHelp
Thank you! I just made a profile and I'm going to get to chatting with people,MadeProfile
And no I haven't created a profile,NeedsHelp
Okay well create a profile where ? Realtor.com ? If so yes and okay perfect how do I contact the roommates,NeedsHelp
Hi Kelsey! Yeah — I guess I was wondering if that place was available for a six month lease? I'm looking to try SF out but I'm not sure I will be staying there for a year due to some up in the air matters w/ a relationship haha. Yeah — I'd love to create a profile! How do I do that?,NeedsHelp
What do you mean by profile on HotPads ?,NeedsHelp
Cool i'll complete the profile in a moment,NeedsHelp
I don't know if I sent a request or not. I did fill out a profile. However I'm looking for a house  not a room .,MadeProfile
Need to finish my profile,MakingProfileRightNow
I have not created a profile.,NeedsHelp
I'm pretty sure I've created my profile in the Apartment List app,MadeProfile
i made a profile tho,MadeProfile
"Yes I am interested if you have  2 rooms available, I would like to create a profile please can you send me the link to create one thanks",NeedsHelp
"Hi! When I login to send a chat, it asks me to make another profile",UNKNOWN
"It asks me to refill out all profile info before sending a chat, but I went ahead and did that!",MadeProfile
Yes I just completed my profile!,MadeProfile
Where do I make a profile,NeedsHelp
I created a profile and clicked to be in the waiting list,MadeProfile
"Hi Kelsey,
I asked her to create her profile and follow up on the Web Site and with you.  Her name is Epiphanie (Pipa) Finer and her number is (845)381-2398.  Thank you so much for your help.
Jim",UNKNOWN
I just filled my profile,MadeProfile
There was something that didn't set well after I reviewed the house. If send me a link to it and profile I'll start it once figure my issue. Is that ok?,UNKNOWN
Hi I recently created a profile,MadeProfile
"Ok. Thank you.
 I will have to see if I can get a profile created.",NeedsHelp
"If you could do so that would be great, I haven't set up a profile yet.",
"Hi Kelsey, yes what is the rental process and is the bedroom with the bathroom or is it a shared bathroom? I have not set up a profile, where do I start?",NeedsHelp
Ok I think I created the profile how do find the chat?,MadeProfile
"Hi Kelsey, I haven't created a profile yet. Can I look at the room first? Also, I'd like to know more about the rental process. Thanks. Dhawal",NeedsHelp
"Hey, I just completed creating the profile.",MadeProfile
How can I get started with a profile?,NeedsHelp
Hi Kelsey! I am new to bungalow. Didn't get to create a profile,NeedsHelp
I saw the profile on hotpads and yes I need to create the profile and look for roommates,NeedsHelp
"Hello! As far as the room for rent or the rental process, no I don't think I have any questions. However I have not had a chance to create a profile yet, is there a link I could follow?",NeedsHelp
No I haven't created a profile I have been in contact with several agents what is the link to move forward is it hotpads I'm uncertain thanks,NeedsHelp
I haven't created any profile yet because I wanted to find out from you those questions.,NeedsHelp
i just made my profile :),MadeProfile
"I didnt create a profile yet on bungalow is that required?, i was looking for a private room (not shared)",NeedsHelp
"The questions I have is parking, I haven't create the profile yet",NeedsHelp
I created my profile on line already. We could chat through my account,MadeProfile
Ion think I created a profile,MadeProfile
Hi kelsey. Yes I've created a profile but haven't found a match just yet. I currently live in West Linn but I'm looking to move closer to Portland.,MadeProfile
You know I'm not sure. It does say I'm a good fit when I'm looking at the profile but I don't have an option to send a chat at the moment,UNKNOWN
"See homes you match with is the button at the bottom. But at the top of the property profile it says ""you're a good match for this home 👍🏻""",UNKNOWN
I redid my profile on a laptop and it says we match but they're not ok with any pets? Does that sound right,UNKNOWN
& will you let me know the link to create a profile please,NeedsHelp
On the profile it just said I'm sorry there's no pets allowed and wouldn't allow me to request a chat anyway,MadeProfile
Hello. I'm actually finishing up my profile now. Thanks for reaching out,MadeProfile
Where do I create my profile?,NeedsHelp
Yes I have some few questions where do I go to make my profile?,NeedsHelp
Yes I created a profile,MadeProfile
I finished my profile,MadeProfile
Yes I started and completed me a profile and stared a chat I'm just waiting for a reply,MadeProfile
I have created my profile. I sent the roommates a chat and am awaiting their reply. Thank you,MadeProfile
Made the profile and applied for the waitlist. Does it accept cosigner?,MadeProfile
"Hi, I'm just creating a profile now. If you have any more information on how the process works that would be great. Thanks",MadeProfile
I made the profile and would love to talk about the apartment,MadeProfile
I do have a profile,MadeProfile
I've completed the profile,MadeProfile
Yes I've created a profile and I don't think I can stay at East Village because they are looking for a female roommate. However I've requested to chat with two other places you manage and haven't heard any response back yet,MadeProfile
"Ok, great. I'm in the process of completing the profile. May I ask what the actual application process consists of?",MadeProfile
"And no I haven't created a profile, I will this week!",NeedsHelp
"Ok amazing, I'm super excited! And yes I'll set up the profile on my lunch break today. Thank you!",NeedsHelp
how do i create my profile,NeedsHelp
"hello, I can make a profile today and get that started,  is the space cat friendly?",NeedsHelp
Like when i was filling out the profile i put no preference for most of them but the day or night question. I have insomnia so i put staying up late,UNKNOWN
"Also, if I create a profile do I have a chance of getting a room?",MadeProfile
Okay now I understand I did inquire about this property but it was on HotPads thank you for reaching out I will make a profile on bungalow as well,NeedsHelp
I'm creating my profile now. I'll be taking my time because I do want to be matched comfortably.  I've never lived as a roommate before.,UNKNOWN
Ok I made my profile and reached out to the roommates!,MadeProfile
"Hi there! Yes I am creating a profile now. 

About the rental process is there a credit check involved?",MakingProfileRightNow
Not yet still working on the profile,MakingProfileRightNow
"Hello, I'm currently building my profile but am interested in that space if available",MakingProfileRightNow
"I wasn't sure where to go to make my profile! I'd love to do that! I wanted to check if you're pet friendly as well, I have a service dog in training as well as a cat",NeedsHelp
And I'm creating my profile as we speak.,MakingProfileRightNow
I created the profile. My bf has to create one two?,MadeProfile
I'm done with my profile and I've sent messages to 3-4 houses I'm interested in,MadeProfile
"I am interested in the room. Not exactly sure of the process needed. 

I have not yet created a profile or chatted with potential roommates. ",NeedsHelp
Yes I believe I do have a profile,MadeProfile
I created a profile and sent a chat request to the property you provided. Thank you!,MadeProfile
I didn't create any profile,NeedsHelp
I'm having problems To create a profile,NeedsHelp
Hello thanks for reaching out I am looking for one bedroom or studio but not to lucky so I'm settling for a room not too far from greater Boston area. How many ppl live in unit already ? Where would I create a profile ?,NeedsHelp
No how do I create a profile?,NeedsHelp
"Hello Kelsey, thanks for getting back to me. I do not have any questions at this point. If possible I would like to know the square footage of the room. I believe I did make a profile but I am having trouble connecting with my account.",MadeProfile
"Hi Kelsey, thank you for your timely response. In regards to the property, I was going through the virtual tour and was wondering which room was available? Also I was curious about the parking availability & situation? For rent I was wondering when I would expect it to be due? & lastly I have not had the chance to make a profile, would it be through the website (Zumper)?",UNKNOWN
Hi good morning how do I get to the rental profile,NeedsHelp
I am interested in a tour. I am unfamiliar with your rental process. No I have not created a profile. How would I go about doing so?,NeedsHelp
No I do not have a profile online,NeedsHelp
How do I create a profile,NeedsHelp
And what are the criteria how do I make a profile to fill out the application can you please send me viewing of the place please thank you so much may God bless you,NeedsHelp
I dont want to creat profile just send to pls the detailed pls,UNKNOWN
"Yes. And I'm making a profile now. "" gorgeous Point Loma mansion",MakingProfileRightNow
Ok where do I upload my profile,UNKNOWN
Ok I just finished the profile,MadeProfile
I completed my profile,MadeProfile
My questions are Utilities included. When is the room available? I have not had chance to create a profile yet. Will do right now. Thank you for your time.,NeedsHelp
Is the profile necessary for the room?,UNKNOWN
Sounds good and I haven't started a profile yet I wanted to reach out to see if this room was still available,NeedsHelp
"I haven't created a profile yet, I just saw their listing on Sublet.com but I'll go make an account",NeedsHelp
Hey I created a profile and sent a chat,MadeProfile
Yep! I made the profile last night and sent them a chat request,MadeProfile
Hey Kelsey! I just submitted a questionnaire and I guess I'm waiting to see if I'm accepted to have a conversation with the roommates? So hopefully I'll get to speak with them (or you? Lol) soon.  But yes I've finalized my profile already,MadeProfile
Can you send me the link so I can create a profile?,NeedsHelp
No but I do have profile,MadeProfile
" Hi!
I haven't created a profile yet. I noticed the roommates are looking for some one much younger than I am! 
I am just getting started on the process of investigating my options for living in NW; that is affordable for me. I work in the area.",NeedsHelp
"Hi Kelsey, thank you for reaching out. I successfully filled out my profile and have submitted a chat request with those housemates. I am looking at other homes that I'd potentially match with. Is my profile okay?",MadeProfile
"Hey, thanks! I submitted my profile. Awaiting response from roommates. Thanks!",MadeProfile
I have not done the profile yet. And my fiance would be my room mate,NeedsHelp
"I am actually setting up a profile now! How does this work though, I've never heard of this rental company?",MakingProfileRightNow
Ok yeah I'll make a profile and chat with them,MadeProfile
Do I create my profile on the same page that I applied at,NeedsHelp
I have created a profile but how do I request to chat?,MadeProfile
Yes I made profile and 3months is great. Not whole house. Just 2 rooms. Depending on price,MadeProfile
Okay how do I create a profile,NeedsHelp
"It says my profile doesn't meet the ideal roommate criteria, I should message anyway?",UNKNOWN
No I have not started on a profile yet. May you direct me in the direction to make a profile,NeedsHelp
I have completed my profile,MadeProfile
Can you send me the link to the room and I am creating a profile now,MakingProfileRightNow
"Currently editing profile, I want to know about renting a place that is avaliable before I move in, which is the first week of June.",MakingProfileRightNow
what is the rate ???  and how can I make the profile ???,NeedsHelp
Hi Kelsey! Thanks for your message. I think I created a profile. I'm not sure how to chat with roommates? Also is it crucial that I have my proof of income posted? I'm supposed to receive a stipend from my school and that should cover the cost. But they haven't sent the check. It should arrive by next week. Can I still apply without it?,MadeProfile
I have not had a chance to create profile,NeedsHelp
"Liked “Hi Zafair Evans, this is Kelsey from Bungalow reaching out because I saw you submitted an inquiry for Updated Overbrook townhouse near Morris Park. Do you have any questions about the room for rent or our rental process? If not, have you had a chance to create your profile and start a chat with your potential roommate(s)? Here to help!”",UNKNOWN
"yes hello, I was just going to ask about the availability before creating a bungalow profile!",UNKNOWN
"Also once I create the profile would I be able to reach directly out to the current tenants to see if I would be a good fit, or how do I go about that process?",UNKNOWN
I have not created a profile. New to this. What is the move in Fee's,NeedsHelp
"Hello, 

Yes I'm looking for a room to rent by the beginning of the month. Yes I would like to know more about the price, the rental process. And I haven't set up a profile yet.",NeedsHelp
I just completed filling out the profile and it says it doesn't match The roommates ideal roommate,MadeProfile
Create a profile where,NeedsHelp
I just made the profile,MadeProfile
"Greetings, Kelsey!

I have indeed made a profile on the website and have reached out to the people in that home.

I've never done this kind of a rental before so definitely learning as I go",MadeProfile
"Hi! I created a profile and answered the insta chat questions, just waiting to hear back at the moment",MadeProfile
I friend sent me the listing. The condo looks nice. How/ where do I create the profile to chat with them?,NeedsHelp
More so about the rental process . What are the initial requirements . And yes I'm currently working on my profile now .,MakingProfileRightNow
Can you send me the link where I can create a profile. Thank you,NeedsHelp
I have not created a profile. I have requested a call the different ways,NeedsHelp
Yeah I have already setup my profile!,MadeProfile
I have not. I will try and create the profile now,NeedsHelp
Hey Mrs. Kelsey Not familiar with the process and I don't think I know how to start my profile can you help me,NeedsHelp
"No, we're do I create the profile
",NeedsHelp
Hello! I am currently creating a profile right now. I don't know much about this company . Would you be able to explain the application process and anything else if need to know?,MakingProfileRightNow
"I have not created a profile but I did check out the house! My one question would be, is the bedroom furnished?",UNKNOWN
Yes! Started the chat and finished my profile. Curious to know is there parking? Also curious to learn more about the roomies but I'm sure I'll hear from them soon,MadeProfile
"Kayla Rodriguez ! Sorry about that . 
I love the style of the house, which bedroom is it again ? 
And I wanted to go over utilities and like total rent for the bedroom I think It would be wonderful to create a profile so I could get that started",UNKNOWN
I don't have a profile with Bungalow. I saw this on diggz,NeedsHelp
"Yeah so is there a washer and dryer in the unit and is the room that I would be renting furnished or would I have to bring my own couches tv stuff like that. I haven't created a profile yet I can do that tonight while I'm at work, also when is it available?",NeedsHelp
Hi i am working on my profile now,MakingProfileRightNow
"hello my apologies, I was in class all day and I am currently working a night shift! thank you so much for your help, i have created a profile so tomorrow afternoon I will make sure to reach out to them",MadeProfile
Hi! Thank you so much for reaching out. I'm filling out my profile right now.,MakingProfileRightNow
Fill out a Bungelow profile?,UNKNOWN
Hi Kelsey no I have not had the chance to set up a profile. I was actually hoping to ask a couple question about the room and the house,NeedsHelp
How do I create a profile? And do the properties have Landry units?,NeedsHelp
Good to know. Ok i have finished making my profile so I'm just waiting on the approval,MakingProfileRightNow
I have created my profile and requested chat - so far no response,MakingProfileRightNow
No. Where do I create the profile?,NeedsHelp
No questions about the room! But I have not had an opportunity to create a profile,NeedsHelp
"Hi Kelsey thanks for reaching out. 
I just downloaded the app and am creating a profile now. I guess I'm curious about how much is rent and other utilities and how soon can I move in?",MakingProfileRightNow
yea i created a profile,MadeProfile
I mean I have profile on Apartment.com,MadeProfile
I'm doing my profile right now and my name is crystal sorry 😂,MakingProfileRightNow
Yes Where is should create the profile ?,NeedsHelp
Hi there! Thanks for the follow up message... Setting up profile now,MakingProfileRightNow
The questions that I answered on my profile it's all that's there and other ppl pix,UNKNOWN
"I have not created a profile yet, what should I do to create one?",NeedsHelp
I haven't had a chance to create a profile but I can send you things about myself,NeedsHelp
Not sure how long of a process that is (Creating a profile and Chat) I have other people getting back to me at the moment,NeedsHelp
"I made a profile and filled out the rental preferences. I have an invitation to join the home, is this the chat request you mentioned with the potential roommates or is there something else?",MadeProfile
I did set up a profile,MadeProfile
Don't think roommates is a thing and I have a profile ?,MadeProfile
"Hi Kelsey, thank you for reaching out. I haven't create a profile to talkie to the potential roomate yet. I tried to look for the post again, but I think I lost it. Can you please send the post again?",NeedsHelp
"hi there, currently filling out my profile info!",MakingProfileRightNow
